nfeature,r_g1,r_g2,num_bioreps,num_allele_specific_reads_per_biorep,num_allele_specific_reads,total_coverage,theta1_sim,theta2_sim,delta_AI_1,delta_AI_2,delta_AI_3,alpha1_sim,alpha2_sim,average_alpha1,median_alpha1,variance_alpha1,average_alpha2,median_alpha2,variance_alpha2,average_theta1,median_theta1,variance_theta1,average_theta2,median_theta2,variance_theta2,average_c1_sampleprop,median_c1_sampleprop,variance_c1_sampleprop,average_c2_sampleprop,median_c2_sampleprop,variance_c2_sampleprop,prop_H1_LE05,prop_H1_LE01,prop_H2_LE05,prop_H2_LE01,prop_H3_LE05,prop_H3_LE01
10000,0.8,0.8,5,320,1600,200,0.5,0.55,0,0.1,0.1,1,0.904534,1.0028379,1.0013,0.002507509,0.91059052,0.9094,0.001996938,0.49984857,0.5,0.000615096,0.54769333,0.5479,0.000584961,0.49982607,0.5,0.000672364,0.54985922,0.55,0.000638793,0.0513,0.0096,0.4688,0.2189,0.2661,0.0991
10000,0.8,0.8,5,80,400,50,0.5,0.55,0,0.1,0.1,1,0.904534,1.00360553,1.0012,0.003951646,0.91488243,0.91345,0.003380162,0.50029685,0.5006,0.000963649,0.54608945,0.546,0.000976073,0.5003242,0.5,0.001124276,0.54979913,0.5497,0.001141444,0.0347,0.0056,0.269,0.0963,0.1462,0.0395
1000,0.8,0.8,6,160,960,100,0.5,0.5,0,0,0,1,1,0.9988234,0.997,0.002474613,1.002368,0.99955,0.002523085,0.501864,0.5021,0.000613268,0.5001075,0.501,0.000617826,0.5019608,0.50215,0.000672916,0.5001202,0.501,0.000675572,0.045,0.009,0.044,0.007,0.039,0.007
1000,0.8,0.8,5,192,960,120,0.5,0.5,0,0,0,1,1,1.0018892,0.99955,0.002669375,1.003529,1.0029,0.002677347,0.5004697,0.50085,0.000656434,0.499655,0.4993,0.000656983,0.5005,0.5005,0.000724363,0.4996386,0.4995,0.000728531,0.037,0.005,0.037,0.006,0.043,0.003
1000,0.8,0.8,4,240,960,150,0.5,0.5,0,0,0,1,1,1.0038268,1.00045,0.003389524,1.0059838,1.0029,0.003418298,0.4998268,0.50065,0.000823216,0.4987661,0.49945,0.000832509,0.4997718,0.501,0.000930642,0.4986889,0.4995,0.000944779,0.042,0.009,0.05,0.008,0.04,0.008
1000,0.8,0.8,12,80,960,50,0.5,0.5,0,0,0,1,1,1.0019599,0.99975,0.001638498,1.0009561,0.9991,0.00171371,0.4998811,0.5005,0.000403641,0.5003983,0.5009,0.000425223,0.4998609,0.5005,0.000427429,0.5004244,0.501,0.000452384,0.037,0.01,0.041,0.01,0.049,0.003
1000,0.8,0.8,8,120,960,75,0.5,0.5,0,0,0,1,1,1.0032399,1.00175,0.002080784,1.0025936,1.0012,0.002135098,0.4994582,0.4996,0.000512263,0.4997949,0.5,0.000524352,0.4994155,0.4995,0.000552403,0.4997715,0.5,0.000566389,0.045,0.006,0.046,0.006,0.046,0.008
1000,0.8,0.8,12,200,2400,125,0.5,0.5,0,0,0,1,1,0.999899,0.9997,0.001302367,1.0002639,1.0002,0.001182145,0.5006684,0.5005,0.000324479,0.5004545,0.5002,0.000294828,0.5006482,0.5002,0.0003365,0.500477,0.5002,0.000307193,0.075,0.013,0.046,0.013,0.063,0.01
1000,0.8,0.8,8,200,1600,125,0.5,0.5,0,0,0,1,1,1.0036481,1.0023,0.001823637,1.0013729,1.00015,0.001758748,0.4990886,0.4993,0.000447004,0.5002029,0.5004,0.000434457,0.499062,0.4991,0.000473352,0.500271,0.5003,0.000459225,0.058,0.012,0.043,0.005,0.049,0.006
1000,0.8,0.8,8,300,2400,187.5,0.5,0.5,0,0,0,1,1,1.0025792,1.0016,0.00182839,1.0019579,1.00055,0.001596456,0.4995638,0.4996,0.000452876,0.4998202,0.50015,0.000394311,0.4995848,0.49955,0.000476468,0.4997655,0.5,0.000414543,0.079,0.024,0.059,0.009,0.066,0.014
